"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"287";"2264 Fyzioterapeuti specialiste";808;27022;21635;24370;29953;34230;27695;3.83;10.3;6.68;174.7784;"2264";"Fyzioterapeuti Specialiste";"Verejna sfera"
"288";"2265 Specialiste v oblasti dietetiky a vyzivy";412;26023;19732;22757;29436;33112;26517;3.18;13.14;6.36;174.2276;"2265";"Specialiste V Oblasti Dietetiky A Vyzivy";"Verejna sfera"
"289";"2266 Specialiste v oblasti audiologie a recove terapie";83;31917;23969;26299;37214;42670;32617;2.85;12.63;4.95;173.59;"2266";"Specialiste V Oblasti Audiologie A Recove Terapie";"Verejna sfera"
"290";"2269 Specialiste v oblasti zdravotnictvi jinde neuvedeni";471;27256;20327;23423;31977;43476;30526;3.65;19.04;6.05;175.0391;"2269";"Specialiste V Oblasti Zdravotnictvi Jinde Neuvedeni";"Verejna sfera"
"291";"2310 Ucitele na vysokych a vyssich odbornych skolach";839;31112;24825;27605;37152;43666;33157;2.39;13.96;5.66;174.1058;"2310";"Ucitele Na Vysokych A Vyssich Odbornych Skolach";"Verejna sfera"
"292";"2320 Ucitele odbor. predmetu,praktickeho vyucovani,lektori (kr.zaku se spec.vzdel.potreb.)";12290;27296;23336;24869;30057;32975;27883;2.18;8.67;4.42;174.2574;"2320";"Ucitele Odbor. Predmetu,praktickeho Vyucovani,lektori (kr.zaku Se Spec.vzdel.potreb.)";"Verejna sfera"
"293";"2330 Ucitele na strednich skolach (kr.odbor.predmetu), konzervatorich, 2.st.zakladnich skol";38202;27926;23839;25517;30210;32628;28217;2.34;8.28;3.89;174.0306;"2330";"Ucitele Na Strednich Skolach (kr.odbor.predmetu), Konzervatorich, 2.st.zakladnich Skol";"Verejna sfera"
"294";"2341 Ucitele na 1. stupni zakladnich skol ";23524;27794;23835;25536;29721;31513;27841;2.41;6.53;3.78;173.9099;"2341";"Ucitele Na 1. Stupni Zakladnich Skol";"Verejna sfera"
"295";"2342 Ucitele v oblasti predskolni vychovy";22020;23331;20899;21865;24550;26259;23480;2.22;3.44;4.52;173.5922;"2342";"Ucitele V Oblasti Predskolni Vychovy";"Verejna sfera"
"296";"2351 Specialiste zamereni na metody vyuky";404;34054;26285;30737;36368;43763;34452;2.88;16.87;4.17;174.0159;"2351";"Specialiste Zamereni Na Metody Vyuky";"Verejna sfera"
"297";"2353 Lektori a ucitele jazyku na ostatnich skolach";65;26819;21293;24243;29705;32146;26568;0.51;8.16;6.27;173.7369;"2353";"Lektori A Ucitele Jazyku Na Ostatnich Skolach";"Verejna sfera"
"298";"2354 Lektori a ucitele hudby na ostatnich skolach";2738;26717;22787;24362;28694;30759;26869;2.12;4.54;2.93;173.928;"2354";"Lektori A Ucitele Hudby Na Ostatnich Skolach";"Verejna sfera"
"299";"2355 Lektori a ucitele umeni na ostatnich skolach";1242;26816;22797;24352;28937;30652;26901;2.49;4.9;2.97;173.7271;"2355";"Lektori A Ucitele Umeni Na Ostatnich Skolach";"Verejna sfera"
"300";"2359 Specialni pedagogove, vychovatele (kr.spec.vzdel.potreb), ostatni pedagogove";11094;24173;20871;22353;26570;30581;25034;2.55;7.54;4.77;174.0182;"2359";"Specialni Pedagogove, Vychovatele (kr.spec.vzdel.potreb), Ostatni Pedagogove";"Verejna sfera"
"301";"2411 Specialiste v oblasti ucetnictvi";3668;30973;22435;26157;37168;44522;32718;8.68;18.29;6.63;174.0779;"2411";"Specialiste V Oblasti Ucetnictvi";"Verejna sfera"
"302";"2412 Financni a investicni poradci a pribuzni specialiste";37;28729;24177;25990;36089;40485;31294;6.01;20.29;6.63;173.8276;"2412";"Financni A Investicni Poradci A Pribuzni Specialiste";"Verejna sfera"
"303";"2413 Financni analytici a specialiste v peneznictvi a pojistovnictvi";205;36273;27002;31354;42599;49930;37995;7.14;21.64;7.32;174.7546;"2413";"Financni Analytici A Specialiste V Peneznictvi A Pojistovnictvi";"Verejna sfera"
"304";"2421 Specialiste v oblasti organizace a rizeni prace";558;33574;24411;27831;40023;49129;35446;9.27;23.2;6.87;172.3593;"2421";"Specialiste V Oblasti Organizace A Rizeni Prace";"Verejna sfera"
"305";"2422 Specialiste v oblasti strategie a politiky organizaci";13728;36388;23562;28601;43577;51959;37327;9.61;20.97;6.67;174.0059;"2422";"Specialiste V Oblasti Strategie A Politiky Organizaci";"Verejna sfera"
"306";"2423 Specialiste v oblasti personalniho rizeni";792;31446;24120;28165;38388;45697;33977;7.18;20.3;7.24;175.0371;"2423";"Specialiste V Oblasti Personalniho Rizeni";"Verejna sfera"
"307";"2424 Specialiste v oblasti vzdelavani a rozvoje lidskych zdroju";244;30288;22575;25679;38295;49237;33522;9.44;18.37;6.46;175.4903;"2424";"Specialiste V Oblasti Vzdelavani A Rozvoje Lidskych Zdroju";"Verejna sfera"
"308";"2431 Specialiste v oblasti reklamy a marketingu, pruzkumu trhu";363;30620;21305;26059;36011;42744;32453;10.33;27.02;8.69;173.9046;"2431";"Specialiste V Oblasti Reklamy A Marketingu, Pruzkumu Trhu";"Verejna sfera"
"309";"2432 Specialiste pro styk s verejnosti";752;28236;17799;21281;37871;47009;30720;8.72;20.19;6.43;174.1918;"2432";"Specialiste Pro Styk S Verejnosti";"Verejna sfera"
"310";"2511 Systemovi analytici";755;34403;26254;30136;40134;47645;36148;7.56;20.04;6.39;174.1453;"2511";"Systemovi Analytici";"Verejna sfera"
"311";"2514 Programatori pocitacovych aplikaci specialiste";291;32543;23125;27602;37693;44142;33323;6.73;21.63;6.18;174.8577;"2514";"Programatori Pocitacovych Aplikaci Specialiste";"Verejna sfera"
"312";"2521 Navrhari a spravci databazi";283;33840;25088;28915;39573;44655;34533;5.95;18.91;5.8;174.9465;"2521";"Navrhari A Spravci Databazi";"Verejna sfera"
"313";"2522 Systemovi administratori, spravci pocitacovych siti ";1879;31082;23550;27076;35878;42318;32211;5.77;18.22;6.44;174.4307;"2522";"Systemovi Administratori, Spravci Pocitacovych Siti";"Verejna sfera"
"314";"2523 Specialiste v oblasti pocitacovych siti (krome spravcu)";219;33873;22755;27588;40794;46635;34443;7.39;23.51;5.68;173.955;"2523";"Specialiste V Oblasti Pocitacovych Siti (krome Spravcu)";"Verejna sfera"
"315";"2529 Specialiste v oblasti bezpecnosti dat a pribuzni pracovnici";149;36441;27566;30916;44991;56252;39411;14.68;22.16;6.66;171.7472;"2529";"Specialiste V Oblasti Bezpecnosti Dat A Pribuzni Pracovnici";"Verejna sfera"
"316";"2611 Advokati, statni zastupci a pribuzni pracovnici";64;21516;18751;19929;23583;28794;23080;7.14;5.2;5.19;173.272;"2611";"Advokati, Statni Zastupci A Pribuzni Pracovnici";"Verejna sfera"
"317";"2612 Soudci a pribuzni pracovnici";1607;25932;20829;23076;29364;32230;26659;9.52;6.22;6.29;173.4074;"2612";"Soudci A Pribuzni Pracovnici";"Verejna sfera"
"318";"2619 Podnikovi pravnici, pravnici legislativci, ostatni specialiste v oblasti prava ";3026;34425;24678;28891;42783;52188;36870;10.16;19.17;6.91;173.907;"2619";"Podnikovi Pravnici, Pravnici Legislativci, Ostatni Specialiste V Oblasti Prava";"Verejna sfera"
"319";"2621 Specialiste archivari, kuratori a spravci pamatkovych objektu";1945;25336;19263;21857;29607;34688;26462;4.71;11.98;5.74;173.2878;"2621";"Specialiste Archivari, Kuratori A Spravci Pamatkovych Objektu";"Verejna sfera"
"320";"2622 Specialiste v knihovnach a v pribuznych oblastech";282;24525;19460;21405;28752;37911;26686;4.87;13.69;5.67;174.4047;"2622";"Specialiste V Knihovnach A V Pribuznych Oblastech";"Verejna sfera"
"321";"2631 Specialiste v oblasti ekonomie";357;32350;22929;27321;39541;46513;34553;7.64;22.56;7.31;174.4257;"2631";"Specialiste V Oblasti Ekonomie";"Verejna sfera"
"322";"2632 Sociologove, antropologove a specialiste v pribuznych oborech";337;24346;19350;21847;28067;34329;25959;4.28;11.45;5.73;173.3851;"2632";"Sociologove, Antropologove A Specialiste V Pribuznych Oborech";"Verejna sfera"
"323";"2633 Filozofove, historici a politologove";389;23277;17917;20286;27797;33508;25197;1.47;10.35;6.08;173.32;"2633";"Filozofove, Historici A Politologove";"Verejna sfera"
"324";"2634 Psychologove";1298;29115;23185;25355;33912;39092;30506;3.37;13.16;7.01;173.9867;"2634";"Psychologove";"Verejna sfera"
"325";"2635 Specialiste v oblasti socialni prace";3216;26820;18815;22326;30542;34560;26944;5.23;17.21;6.52;173.4067;"2635";"Specialiste V Oblasti Socialni Prace";"Verejna sfera"
"326";"2642 Redaktori, novinari a pribuzni pracovnici";279;28333;21294;24216;32471;37291;29094;4.71;17.26;5.95;174.5139;"2642";"Redaktori, Novinari A Pribuzni Pracovnici";"Verejna sfera"
"327";"2643 Prekladatele, tlumocnici a jazykovedci";44;29578;21919;25173;32319;36061;29019;2.83;19.37;8.02;171.1469;"2643";"Prekladatele, Tlumocnici A Jazykovedci";"Verejna sfera"
"328";"2651 Vytvarni umelci";134;21441;16022;18803;26144;33200;23303;3.83;11.35;4.99;173.4345;"2651";"Vytvarni Umelci";"Verejna sfera"
"329";"2652 Hudebnici, zpevaci a skladatele";1781;25706;19365;22326;29389;38124;27133;3.94;13.18;0.97;173.1379;"2652";"Hudebnici, Zpevaci A Skladatele";"Verejna sfera"
"330";"2653 Tanecnici a choreografove";274;26576;19385;21672;36184;43314;29578;7.08;17.62;1.83;173.12;"2653";"Tanecnici A Choreografove";"Verejna sfera"
"331";"2654 Reziseri, dramaturgove, produkcni a pribuzni specialiste";228;27223;19296;22689;35118;42937;30364;7.66;20.94;2.95;174.2735;"2654";"Reziseri, Dramaturgove, Produkcni A Pribuzni Specialiste";"Verejna sfera"
"332";"2655 Herci";587;24921;19832;21947;27979;32158;25985;5.32;11.5;0.29;173.3902;"2655";"Herci";"Verejna sfera"
"333";"2659 Vykonni umelci a pribuzni specialiste jinde neuvedeni ";95;22888;17916;19371;25712;29308;23489;6.61;13.39;1.96;173.6323;"2659";"Vykonni Umelci A Pribuzni Specialiste Jinde Neuvedeni";"Verejna sfera"
"334";"3111 Technici v chemickych a fyzikalnich vedach (krome chemickeho inzenyrstvi)";296;23688;19790;21801;26690;30158;24713;1.23;17.67;6.12;172.313;"3111";"Technici V Chemickych A Fyzikalnich Vedach (krome Chemickeho Inzenyrstvi)";"Verejna sfera"
"335";"3112 Stavebni technici";2712;27987;22287;25071;31463;35512;28805;6.06;17.12;6.35;173.5405;"3112";"Stavebni Technici";"Verejna sfera"
"336";"3113 Elektrotechnici a technici energetici";297;27014;21105;24034;30893;35744;27898;5.44;18.88;5.98;174.93;"3113";"Elektrotechnici A Technici Energetici";"Verejna sfera"
"337";"3114 Technici elektronici";104;26226;19170;22390;30038;35729;27146;3.43;20.15;5.14;174.2904;"3114";"Technici Elektronici";"Verejna sfera"
"338";"3115 Strojirensti technici";184;27135;19777;23039;29169;32503;26491;2.85;17.9;7.42;174.4012;"3115";"Strojirensti Technici";"Verejna sfera"
"339";"3116 Technici v chemickem inzenyrstvi a prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";285;27258;20575;22685;30631;33339;26889;5.68;10.58;6.7;175.9415;"3116";"Technici V Chemickem Inzenyrstvi A Prib.oborech (gumar.,plastik.,potrav.,vodar.apod.)";"Verejna sfera"
"340";"3118 Technici kartografove, zememerici a pracovnici v pribuznych oborech";3059;23086;18859;20921;25283;27913;23294;5.74;3.79;5.17;173.4007;"3118";"Technici Kartografove, Zememerici A Pracovnici V Pribuznych Oborech";"Verejna sfera"
"341";"3119 Technici v ostatnich oborech (textilni, kozedelny, polygraficky, drevarsky apod.)";2813;26375;18876;21544;31312;36286;27263;5.97;18.62;5.89;172.9248;"3119";"Technici V Ostatnich Oborech (textilni, Kozedelny, Polygraficky, Drevarsky Apod.)";"Verejna sfera"
"342";"3122 Mistri a pribuzni pracovnici ve vyrobe (krome hutni vyroby a slevarenstvi)";435;28146;22909;25380;31732;35919;28830;6.09;21.7;5.57;175.844;"3122";"Mistri A Pribuzni Pracovnici Ve Vyrobe (krome Hutni Vyroby A Slevarenstvi)";"Verejna sfera"
"343";"3123 Mistri a pribuzni pracovnici ve stavebnictvi";201;32493;26237;28734;37533;42059;33284;10.29;27.92;4.64;175.3999;"3123";"Mistri A Pribuzni Pracovnici Ve Stavebnictvi";"Verejna sfera"
"344";"3141 Technici a laboranti v biologickych a pribuznych oborech (krome zdravotnickych)";395;25255;19200;21756;29596;33733;26206;5.24;14.28;6.33;174.3866;"3141";"Technici A Laboranti V Biologickych A Pribuznych Oborech (krome Zdravotnickych)";"Verejna sfera"
"345";"3142 Technici v oblasti zemedelstvi, rybarstvi a vodohospodarstvi";432;25099;19584;22320;28047;30917;25514;5.72;9.46;5.81;174.7441;"3142";"Technici V Oblasti Zemedelstvi, Rybarstvi A Vodohospodarstvi";"Verejna sfera"
"346";"3143 Technici v oblasti lesnictvi a myslivosti";340;24925;19448;22259;28507;32292;25808;7.35;13.5;5.07;173.3047;"3143";"Technici V Oblasti Lesnictvi A Myslivosti";"Verejna sfera"
"347";"3153 Piloti, navigatori a palubni technici";61;35726;23344;30922;40070;56387;36773;3.41;27.95;4.43;170.7713;"3153";"Piloti, Navigatori A Palubni Technici";"Verejna sfera"
"348";"3211 Technici a asistenti pro obsluhu lekarskych zarizeni";1395;34135;24374;28533;41630;49756;35997;6.5;20.46;6.92;183.9645;"3211";"Technici A Asistenti Pro Obsluhu Lekarskych Zarizeni";"Verejna sfera"
"349";"3212 Odborni laboranti a laboratorni asistenti v oblasti zdravotnictvi";2824;28556;21736;24556;33890;39199;29886;3.47;15.26;6.8;179.8268;"3212";"Odborni Laboranti A Laboratorni Asistenti V Oblasti Zdravotnictvi";"Verejna sfera"
"350";"3213 Farmaceuticti asistenti";570;27955;22386;24761;31542;36042;28788;5.38;14.61;6.42;175.5378;"3213";"Farmaceuticti Asistenti";"Verejna sfera"
"351";"3214 Odborni pracovnici v oblasti zubni techniky, ortotiky a protetiky";73;26433;20436;23687;30185;33783;27098;7.95;9.54;4.54;172.9527;"3214";"Odborni Pracovnici V Oblasti Zubni Techniky, Ortotiky A Protetiky";"Verejna sfera"
"352";"3221 Vseobecne sestry bez specializace";20127;30781;24749;27474;34562;38809;31416;2.6;18.64;6.82;170.7276;"3221";"Vseobecne Sestry Bez Specializace";"Verejna sfera"
"353";"3222 Porodni asistentky bez specializace";897;29926;23487;26474;33356;36799;30120;1.44;18.67;6.31;168.9337;"3222";"Porodni Asistentky Bez Specializace";"Verejna sfera"
"354";"3240 Veterinarni technici a asistenti";329;23818;20331;21982;25269;27484;23884;4.41;5.47;7.2;173.8047;"3240";"Veterinarni Technici A Asistenti";"Verejna sfera"
"355";"3255 Odborni pracovnici v oblasti rehabilitace";1147;26568;20809;23565;29204;32634;26620;3.32;9.43;6.62;174.9035;"3255";"Odborni Pracovnici V Oblasti Rehabilitace";"Verejna sfera"
"356";"3256 Zdravotnicti asistenti (prakticke sestry)";1989;23334;18124;20377;27224;30647;23952;2.16;19.47;7.02;170.479;"3256";"Zdravotnicti Asistenti (prakticke Sestry)";"Verejna sfera"
"357";"3257 Asistenti ochrany verejneho zdravi";616;26701;21663;24717;28442;29975;26240;4.16;13.83;6.57;173.1686;"3257";"Asistenti Ochrany Verejneho Zdravi";"Verejna sfera"
"358";"3258 Zdravotnicti zachranari";2282;36414;28497;32388;40758;45138;36700;1.73;27.25;8.38;174.0357;"3258";"Zdravotnicti Zachranari";"Verejna sfera"
"359";"3259 Nutricni asistenti,ergoterapeuti bez specializace,ost.odborni zdravotnicti pracovnici";390;26722;19606;21711;33400;41003;28425;2.79;16.22;6.85;173.7821;"3259";"Nutricni Asistenti,ergoterapeuti Bez Specializace,ost.odborni Zdravotnicti Pracovnici";"Verejna sfera"
"360";"3313 Odborni pracovnici v oblasti ucetnictvi, ekonomiky a personalistiky";15248;26351;20355;23047;30326;35203;27297;6.46;15.53;6.48;173.9501;"3313";"Odborni Pracovnici V Oblasti Ucetnictvi, Ekonomiky A Personalistiky";"Verejna sfera"
"361";"3314 Odborni pracovnici v oblasti matematiky, statistiky a pojistne matematiky";673;26909;22962;24804;28685;31860;27273;9.96;10.51;6.16;174.1069;"3314";"Odborni Pracovnici V Oblasti Matematiky, Statistiky A Pojistne Matematiky";"Verejna sfera"
"362";"3322 Obchodni zastupci";49;23062;20626;21007;23826;27263;23045;1.44;3.34;5.2;173.3308;"3322";"Obchodni Zastupci";"Verejna sfera"
"363";"3323 Nakupci";412;23605;18625;20915;26910;30560;24498;5.1;16.05;6.55;173.8255;"3323";"Nakupci";"Verejna sfera"
"364";"3331 Odbytovi a prepravni agenti, celni deklaranti";221;25291;20145;22623;27459;31330;25940;3.76;17.09;6.61;177.6467;"3331";"Odbytovi A Prepravni Agenti, Celni Deklaranti";"Verejna sfera"
"365";"3333 Odborni pracovnici uradu prace";2398;24121;18629;21284;26432;28614;24135;3.84;10.8;5.17;178.0162;"3333";"Odborni Pracovnici Uradu Prace";"Verejna sfera"
"366";"3339 Obchodni,reklamacni referenti,pracovnici propagace,reklamy,ostatni zprostredkovatele";818;24282;17552;20393;27958;32899;24807;6.65;17.06;5.89;174.4398;"3339";"Obchodni,reklamacni Referenti,pracovnici Propagace,reklamy,ostatni Zprostredkovatele";"Verejna sfera"
"367";"3341 Vedouci v oblasti administrativnich agend";3010;36360;22384;26305;45687;54805;37810;10.72;24;6.37;173.8066;"3341";"Vedouci V Oblasti Administrativnich Agend";"Verejna sfera"
"368";"3342 Odborni administrativni pracovnici v pravni oblasti";2377;24492;19035;21484;27900;31868;25340;8.28;10.69;6.66;173.6469;"3342";"Odborni Administrativni Pracovnici V Pravni Oblasti";"Verejna sfera"
"369";"3343 Odborni pracovnici v administrative a sprave organizace";27579;26462;19837;22726;31103;37550;27818;6.4;16.13;6.76;173.3415;"3343";"Odborni Pracovnici V Administrative A Sprave Organizace";"Verejna sfera"
"370";"3344 Odborni administrativni pracovnici v oblasti zdravotnictvi";416;21764;17343;19646;25152;30996;23414;5.65;17.95;5.66;174.7641;"3344";"Odborni Administrativni Pracovnici V Oblasti Zdravotnictvi";"Verejna sfera"
"371";"3351 Pracovnici Celni spravy cR";3669;35436;27419;31704;38865;43232;35545;6.66;14.47;10.04;164.6364;"3351";"Pracovnici Celni Spravy CR";"Verejna sfera"
"372";"3352 Pracovnici verejne spravy v oblasti dani";11755;28000;22701;25421;31217;34911;28530;4.9;16.15;6.13;173.5099;"3352";"Pracovnici Verejne Spravy V Oblasti Dani";"Verejna sfera"
"373";"3353 Pracovnici verejne spravy v oblasti socialnich a jinych davek";9347;23751;18757;21094;26373;31557;24513;4.4;10.47;4.75;176.1554;"3353";"Pracovnici Verejne Spravy V Oblasti Socialnich A Jinych Davek";"Verejna sfera"
"374";"3354 Pracovnici verejne spravy vydavajici ruzna povoleni ";1428;26832;21525;24036;29867;32980;27169;5.19;14.83;6.28;173.4134;"3354";"Pracovnici Verejne Spravy Vydavajici Ruzna Povoleni";"Verejna sfera"
"375";"3355 Policejni inspektori, komisari a radove Policie cR";39437;34436;25355;29629;39892;45971;35131;0.82;19.25;10.32;167.796;"3355";"Policejni Inspektori, Komisari A Radove Policie CR";"Verejna sfera"
"376";"3359 Pracovnici verejne spravy v oblasti statnich regulaci jinde neuvedeni";982;31310;22577;25932;41976;48501;33890;8.71;18.72;6.04;174.8089;"3359";"Pracovnici Verejne Spravy V Oblasti Statnich Regulaci Jinde Neuvedeni";"Verejna sfera"
"377";"3411 Odborni pracovnici v pravni oblasti, bezpecnosti a v pribuznych oborech";1270;28157;20187;24112;33324;40435;29334;8.68;14.49;6.92;174.6184;"3411";"Odborni Pracovnici V Pravni Oblasti, Bezpecnosti A V Pribuznych Oborech";"Verejna sfera"
"378";"3412 Odborni pracovnici v oblasti socialni prace";8868;22796;17422;19775;26721;30623;23522;4.59;16.55;6.57;173.1715;"3412";"Odborni Pracovnici V Oblasti Socialni Prace";"Verejna sfera"
"379";"3421 Atleti a ostatni profesionalni sportovci";154;26090;18503;23181;32275;39010;28799;6.18;13.72;4.15;174.8751;"3421";"Atleti A Ostatni Profesionalni Sportovci";"Verejna sfera"
"380";"3422 Sportovni treneri, instruktori a urednici sportovnich klubu";368;27922;20981;24437;33185;40204;29419;2.66;15;4.73;174.0811;"3422";"Sportovni Treneri, Instruktori A Urednici Sportovnich Klubu";"Verejna sfera"
"381";"3431 Fotografove";106;22632;17272;19530;27777;33322;24291;5.17;15.04;5.6;173.9578;"3431";"Fotografove";"Verejna sfera"
"382";"3432 Aranzeri a pribuzni pracovnici";101;21288;16884;18297;26402;32005;22950;5.06;13.06;5.61;173.5165;"3432";"Aranzeri A Pribuzni Pracovnici";"Verejna sfera"
"383";"3433 Konzervatori,restauratori,preparatori a pribuzni prac. v galeriich,muzeich,knihovnach";670;21361;16672;18660;25000;29167;22362;4.19;10.81;5.27;175.2743;"3433";"Konzervatori,restauratori,preparatori A Pribuzni Prac. V Galeriich,muzeich,knihovnach";"Verejna sfera"
"384";"3434 sefkuchari a sefcukrari";662;18938;15053;16816;23742;27794;20642;4.49;16.43;4.17;175.299;"3434";"Sefkuchari A Sefcukrari";"Verejna sfera"
"385";"3435 Ostatni odborni pracovnici v oblasti umeni a kultury";466;20788;14986;16343;24647;31930;22551;6.32;16.35;3.46;173.6516;"3435";"Ostatni Odborni Pracovnici V Oblasti Umeni A Kultury";"Verejna sfera"
