"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"386";"3511 Technici provozu ICT, technici programatori";1205;26514;19639;22731;30681;35838;27365;4.87;19.03;6.19;173.9557;"3511";"Technici Provozu ICT, Technici Programatori";"Verejna sfera"
"387";"3512 Technici uzivatelske podpory informacnich a komunikacnich technologii";280;28793;20571;24714;35909;41693;30340;5.64;17.38;6.71;174.3662;"3512";"Technici Uzivatelske Podpory Informacnich A Komunikacnich Technologii";"Verejna sfera"
"388";"3513 Technici pocitacovych siti a systemu";821;28954;21429;24936;33399;39140;29794;6.24;19.89;6.15;174.2318;"3513";"Technici Pocitacovych Siti A Systemu";"Verejna sfera"
"389";"3521 Technici v oblasti vysilani a audiovizualnich zaznamu";465;22444;17898;20128;26012;29114;23372;5.29;17.3;2.09;176.676;"3521";"Technici V Oblasti Vysilani A Audiovizualnich Zaznamu";"Verejna sfera"
"390";"3522 Technici v oblasti telekomunikaci a radiokomunikaci";164;27303;24192;25614;29338;31658;27472;2.1;19.22;7.18;171.5088;"3522";"Technici V Oblasti Telekomunikaci A Radiokomunikaci";"Verejna sfera"
"391";"4110 Vseobecni administrativni pracovnici";8538;23158;16729;19407;28040;34091;24434;6.89;14.23;6.16;173.6815;"4110";"Vseobecni Administrativni Pracovnici";"Verejna sfera"
"392";"4120 Sekretari (vseobecni)";2151;23701;17164;20005;28022;31896;24359;7.36;15.56;6.28;173.7;"4120";"Sekretari (vseobecni)";"Verejna sfera"
"393";"4131 Pracovnici pro zpracovani textu, pisari";1995;18378;14637;16311;20284;22526;18586;8.23;5.58;5.89;173.6628;"4131";"Pracovnici Pro Zpracovani Textu, Pisari";"Verejna sfera"
"394";"4132 Pracovnici pro zadavani dat";240;21634;16546;18729;24774;31129;22646;5.93;14.53;6.05;173.9032;"4132";"Pracovnici Pro Zadavani Dat";"Verejna sfera"
"395";"4211 Pokladnici ve financnich institucich, na postach a pracovnici v pribuznych oborech";77;22290;15622;18401;25859;30128;22675;6.28;14.6;6.44;174.347;"4211";"Pokladnici Ve Financnich Institucich, Na Postach A Pracovnici V Pribuznych Oborech";"Verejna sfera"
"396";"4214 Inkasiste pohledavek a pribuzni pracovnici";135;24458;20802;22724;27091;29398;25300;7.51;11.62;6.1;173.4753;"4214";"Inkasiste Pohledavek A Pribuzni Pracovnici";"Verejna sfera"
"397";"4221 Pracovnici cestovniho ruchu (krome pruvodcu)";69;22681;16050;18296;28450;32418;23732;3.53;19.27;7.57;173.4734;"4221";"Pracovnici Cestovniho Ruchu (krome Pruvodcu)";"Verejna sfera"
"398";"4222 Pracovnici v zakaznickych kontaktnich centrech";87;20493;15872;17193;24159;31560;22224;7.33;14.46;6.73;174.2581;"4222";"Pracovnici V Zakaznickych Kontaktnich Centrech";"Verejna sfera"
"399";"4223 Operatori telefonnich panelu";260;16397;12590;14083;19045;22466;17023;3.88;17.09;5.96;170.8989;"4223";"Operatori Telefonnich Panelu";"Verejna sfera"
"400";"4224 Recepcni v hotelich a dalsich ubytovacich zarizenich";191;19740;15126;17098;22526;25020;19940;2.79;23.28;7.84;169.363;"4224";"Recepcni V Hotelich A Dalsich Ubytovacich Zarizenich";"Verejna sfera"
"401";"4225 Pracovnici v informacnich kancelarich";517;22150;17278;19620;25724;28625;22749;5.83;15.97;5.91;173.7792;"4225";"Pracovnici V Informacnich Kancelarich";"Verejna sfera"
"402";"4226 Recepcni (krome recepcnich v hotelich a dalsich ubytovacich zarizenich)";270;17376;13899;15353;19753;22238;17841;3.05;18.07;6.09;169.9486;"4226";"Recepcni (krome Recepcnich V Hotelich A Dalsich Ubytovacich Zarizenich)";"Verejna sfera"
"403";"4229 Pracovnici informacnich sluzeb jinde neuvedeni";255;23368;17228;20000;28888;32670;24514;8.33;14.94;6.35;173.9643;"4229";"Pracovnici Informacnich Sluzeb Jinde Neuvedeni";"Verejna sfera"
"404";"4311 urednici v oblasti ucetnictvi";2371;25106;19154;21856;28653;33121;25763;5.76;14.41;6.37;173.9284;"4311";"Urednici V Oblasti Ucetnictvi";"Verejna sfera"
"405";"4312 urednici v oblasti statistiky, financnictvi a pojistovnictvi";820;22212;16556;19020;27583;34518;24194;4.96;13.2;6.61;174.0141;"4312";"Urednici V Oblasti Statistiky, Financnictvi A Pojistovnictvi";"Verejna sfera"
"406";"4313 Mzdovi ucetni";419;27162;20107;23750;30506;35577;27641;7.59;15.5;6.75;173.702;"4313";"Mzdovi Ucetni";"Verejna sfera"
"407";"4321 urednici ve skladech";554;20111;15616;17748;23141;26370;20724;4.96;14.64;6.83;174.3327;"4321";"Urednici Ve Skladech";"Verejna sfera"
"408";"4323 Pracovnici v doprave a preprave";679;28399;22108;25216;32443;36643;28967;5.3;22.89;6.08;176.1655;"4323";"Pracovnici V Doprave A Preprave";"Verejna sfera"
"409";"4411 Knihovnici";3860;21403;16666;18826;24540;28681;22274;4.56;11.21;5.26;175.1273;"4411";"Knihovnici";"Verejna sfera"
"410";"4412 Pracovnici postovniho provozu (krome uredniku na prepazkach)";282;20176;15530;17374;23249;28115;20925;8.14;11.82;6.25;173.6756;"4412";"Pracovnici Postovniho Provozu (krome Uredniku Na Prepazkach)";"Verejna sfera"
"411";"4415 Pracovnici evidence dat a archivu";1699;22187;16872;19401;25280;29271;22883;5.57;11.68;6.12;173.8913;"4415";"Pracovnici Evidence Dat A Archivu";"Verejna sfera"
"412";"4416 Personalni referenti";849;28255;19929;23653;33359;39940;29414;7.99;18.87;6.57;174.0966;"4416";"Personalni Referenti";"Verejna sfera"
"413";"4419 urednici spravy skolstvi,kultury,zdravotnictvi,vnitrnich veci statu a ostatni urednici";9305;28276;20701;24232;33902;41981;30588;9.52;16.45;6.29;173.9496;"4419";"Urednici Spravy Skolstvi,kultury,zdravotnictvi,vnitrnich Veci Statu A Ostatni Urednici";"Verejna sfera"
"414";"5113 Pruvodci, delegati v cestovnim ruchu";420;16485;12883;14678;18968;21985;17176;3;12.21;5.95;174.0112;"5113";"Pruvodci, Delegati V Cestovnim Ruchu";"Verejna sfera"
"415";"5120 Kuchari (krome sefkucharu), pomocni kuchari";20047;14810;12429;13430;16797;19538;15520;3.74;8.12;3.44;173.8527;"5120";"Kuchari (krome Sefkucharu), Pomocni Kuchari";"Verejna sfera"
"416";"5131 cisnici a servirky";396;18279;14115;15732;21220;28515;19616;5.89;19.42;6.17;177.628;"5131";"Cisnici A Servirky";"Verejna sfera"
"417";"5132 Barmani a pribuzni pracovnici";45;17944;15809;16470;19281;20206;18032;6.82;16.22;6.29;177.2419;"5132";"Barmani A Pribuzni Pracovnici";"Verejna sfera"
"418";"5141 Kadernici";51;17540;14993;16640;19781;22219;18135;1.95;11.36;0.94;175.372;"5141";"Kadernici";"Verejna sfera"
"419";"5142 Kosmetici a pracovnici v pribuznych oborech";200;18199;14447;16467;20631;23244;18878;2.8;12.59;4.19;177.161;"5142";"Kosmetici A Pracovnici V Pribuznych Oborech";"Verejna sfera"
"420";"5151 Vedouci provozu stravovacich, ubytovacich a dalsich zarizeni";4556;20473;13124;17272;23199;26318;20406;4.28;13.89;4;173.9525;"5151";"Vedouci Provozu Stravovacich, Ubytovacich A Dalsich Zarizeni";"Verejna sfera"
"421";"5153 Spravci objektu";9249;15787;12400;13466;18799;22114;16658;3.89;10.18;3.95;174.1633;"5153";"Spravci Objektu";"Verejna sfera"
"422";"5163 Pracovnici v pohrebnictvi ";264;20127;14756;16850;23188;27472;20877;6.93;17.44;7.33;177.6359;"5163";"Pracovnici V Pohrebnictvi";"Verejna sfera"
"423";"5164 Chovatele a osetrovatele zvirat v zarizenich urcenych pro chov a pribuzni pracovnici";712;21007;15478;17951;24605;28801;21705;5.04;19.64;7.74;177.09;"5164";"Chovatele A Osetrovatele Zvirat V Zarizenich Urcenych Pro Chov A Pribuzni Pracovnici";"Verejna sfera"
"424";"5169 Pracovnici v oblasti osobnich sluzeb jinde neuvedeni";311;14275;11240;11778;17230;19862;14972;2.52;10.37;7.13;173.995;"5169";"Pracovnici V Oblasti Osobnich Sluzeb Jinde Neuvedeni";"Verejna sfera"
"425";"5223 Prodavaci v prodejnach";283;16679;13414;14753;18646;21168;17109;4.7;12.82;5.61;174.37;"5223";"Prodavaci V Prodejnach";"Verejna sfera"
"426";"5230 Pokladnici a prodavaci vstupenek a jizdenek";1017;20070;15084;16906;23925;27289;20775;5.62;14.63;5.96;173.4586;"5230";"Pokladnici A Prodavaci Vstupenek A Jizdenek";"Verejna sfera"
"427";"5311 Pracovnici pece o deti v mimoskolskych zarizenich a domacnostech";149;17901;12393;15548;20459;23793;18261;2.65;17.34;4.02;174.2537;"5311";"Pracovnici Pece O Deti V Mimoskolskych Zarizenich A Domacnostech";"Verejna sfera"
"428";"5312 Asistenti pedagogu";4567;18140;13419;15852;20642;23138;18349;2.67;11.45;7.1;173.4128;"5312";"Asistenti Pedagogu";"Verejna sfera"
"429";"5321 Osetrovatele a pracovnici v socialnich sluzbach v oblasti pobytove pece";15329;19372;15686;17433;21353;23645;19626;3.7;19.85;8.2;167.3393;"5321";"Osetrovatele A Pracovnici V Socialnich Sluzbach V Oblasti Pobytove Pece";"Verejna sfera"
"430";"5322 Osetrovatele a prac.socialnich sluzeb v obl. ambulantnich,terennich sluzeb,domaci pece ";1773;18199;14925;16426;19961;21813;18602;4.52;15.58;6.55;175.3271;"5322";"Osetrovatele A Prac.socialnich Sluzeb V Obl. Ambulantnich,terennich Sluzeb,domaci Pece";"Verejna sfera"
"431";"5329 Pracovnici osobni pece ve zdravotni a socialni oblasti jinde neuvedeni";11861;20128;15593;17493;24125;28875;21290;2.47;20.58;7.24;172.5651;"5329";"Pracovnici Osobni Pece Ve Zdravotni A Socialni Oblasti Jinde Neuvedeni";"Verejna sfera"
"432";"5411 Prislusnici HZS cR a hasici ostatnich jednotek pozarni ochrany";8366;33889;27417;29995;38785;43847;34912;3.38;24.24;8.92;165.4523;"5411";"Prislusnici HZS CR A Hasici Ostatnich Jednotek Pozarni Ochrany";"Verejna sfera"
"433";"5412 Policiste";7633;31001;22480;26936;35973;41235;31625;3.99;33.09;6;169.7011;"5412";"Policiste";"Verejna sfera"
"434";"5414 Pracovnici ostrahy a bezpecnostnich agentur";3071;15997;11964;13642;18825;22683;16805;2.65;20.23;6.22;171.3658;"5414";"Pracovnici Ostrahy A Bezpecnostnich Agentur";"Verejna sfera"
"435";"6111 Pestitele zemedelskych plodin ";95;15630;12039;13879;17518;19330;15824;2.39;6.38;3.66;174.8701;"6111";"Pestitele Zemedelskych Plodin";"Verejna sfera"
"436";"6113 Zahradnici a pestitele v zahradnickych skolkach";980;17766;13598;15256;21005;24557;18615;5.84;13.89;6.18;176.3602;"6113";"Zahradnici A Pestitele V Zahradnickych Skolkach";"Verejna sfera"
"437";"6210 Kvalifikovani pracovnici v lesnictvi a pribuznych oblastech";239;20502;14448;17316;24190;29492;21148;8.26;12.57;5.94;174.2193;"6210";"Kvalifikovani Pracovnici V Lesnictvi A Pribuznych Oblastech";"Verejna sfera"
"438";"7112 Zednici, kamnari, dlazdici a monteri suchych staveb";480;20109;15842;17980;22387;25330;20331;4.57;14.93;6.29;175.4044;"7112";"Zednici, Kamnari, Dlazdici A Monteri Suchych Staveb";"Verejna sfera"
"439";"7115 Tesari a stavebni truhlari";91;20496;16925;18081;22339;25274;20757;5.38;14.57;4.7;176.3782;"7115";"Tesari A Stavebni Truhlari";"Verejna sfera"
"440";"7119 Ostatni remeslnici a kvalifikovani pracovnici hlavni stavebni vyroby";935;20631;15509;17783;23594;26818;21114;5.87;18.13;3.56;178.1702;"7119";"Ostatni Remeslnici A Kvalifikovani Pracovnici Hlavni Stavebni Vyroby";"Verejna sfera"
"441";"7126 Instalateri, potrubari, stavebni zamecnici a stavebni klempiri";451;21580;17818;19814;23743;27116;22256;4.03;17.6;5.78;177.0781;"7126";"Instalateri, Potrubari, Stavebni Zamecnici A Stavebni Klempiri";"Verejna sfera"
"442";"7131 Maliri (vcetne stavebnich lakyrniku a nateracu), tapetari";122;19675;16267;17826;21560;24004;19878;2.29;13.86;5.6;176.9085;"7131";"Maliri (vcetne Stavebnich Lakyrniku A Nateracu), Tapetari";"Verejna sfera"
"443";"7213 Pracovnici na zpracovani plechu ";38;22203;17188;19878;23211;24211;21680;2.58;15.88;7.17;174.9958;"7213";"Pracovnici Na Zpracovani Plechu";"Verejna sfera"
"444";"7222 Nastrojari a pribuzni pracovnici";1673;20538;15414;17656;23390;26821;20863;4.49;16.63;5.93;175.8577;"7222";"Nastrojari A Pribuzni Pracovnici";"Verejna sfera"
"445";"7231 Mechanici a opravari motorovych vozidel";685;22262;18529;20431;24479;27442;22625;4.45;18.19;5.71;175.5541;"7231";"Mechanici A Opravari Motorovych Vozidel";"Verejna sfera"
"446";"7233 Mechanici a opravari zemedelskych, prumyslovych a jinych stroju a zarizeni";151;21077;15971;18195;24686;27902;21674;5.11;17.91;5.47;176.2833;"7233";"Mechanici A Opravari Zemedelskych, Prumyslovych A Jinych Stroju A Zarizeni";"Verejna sfera"
"447";"7311 Vyrobci, mechanici a opravari presnych pristroju a zarizeni";67;23454;18527;21975;27044;30388;24220;2.74;20.34;6.19;181.2519;"7311";"Vyrobci, Mechanici A Opravari Presnych Pristroju A Zarizeni";"Verejna sfera"
"448";"7317 Tradicni zpracovatele dreva, prouti a pribuznych materialu";65;19627;16081;18611;23194;25204;20717;2.98;12.23;2.22;173.7888;"7317";"Tradicni Zpracovatele Dreva, Prouti A Pribuznych Materialu";"Verejna sfera"
"449";"7319 Pracovnici v oblasti umeleckych a tradicnich remesel jinde neuvedeni";69;20861;16969;19121;23814;25485;21210;4.12;14.14;2.58;174.7924;"7319";"Pracovnici V Oblasti Umeleckych A Tradicnich Remesel Jinde Neuvedeni";"Verejna sfera"
"450";"7323 Pracovnici konecne upravy tisku a vazaci knih";55;19109;15154;16368;22404;25832;20119;5.13;11.08;5.19;176.0297;"7323";"Pracovnici Konecne Upravy Tisku A Vazaci Knih";"Verejna sfera"
"451";"7411 Stavebni a provozni elektrikari";587;22774;17898;19839;26700;30197;23453;3.38;21.27;5.91;178.2301;"7411";"Stavebni A Provozni Elektrikari";"Verejna sfera"
"452";"7412 Elektromechanici";501;21931;17671;19634;24866;27719;22603;3.19;17.32;5.94;176.3626;"7412";"Elektromechanici";"Verejna sfera"
"453";"7413 Monteri a opravari elektrickych vedeni";48;23985;20077;21595;27766;31060;24745;4.93;20.06;5.31;178.7285;"7413";"Monteri A Opravari Elektrickych Vedeni";"Verejna sfera"
"454";"7421 Mechanici a opravari elektronickych pristroju";108;27188;20278;24265;30457;33298;27119;3.94;23.05;5.68;183.8768;"7421";"Mechanici A Opravari Elektronickych Pristroju";"Verejna sfera"
"455";"7422 Mechanici a opravari informacnich a komunikacnich technologii";39;22505;17043;18164;26558;32541;22847;2.63;22.19;4.64;175.2901;"7422";"Mechanici A Opravari Informacnich A Komunikacnich Technologii";"Verejna sfera"
"456";"7512 Pekari, cukrari (krome sefcukraru) a vyrobci cukrovinek ";35;18904;14768;16006;20917;25361;19151;4;18.13;4.64;173.7048;"7512";"Pekari, Cukrari (krome Sefcukraru) A Vyrobci Cukrovinek";"Verejna sfera"
"457";"7522 Truhlari (krome stavebnich) a pracovnici v pribuznych oborech";169;20186;16453;17733;22748;24494;20448;4.74;14.65;5.85;175.6159;"7522";"Truhlari (krome Stavebnich) A Pracovnici V Pribuznych Oborech";"Verejna sfera"
"458";"7531 Krejci, kozesnici a kloboucnici";336;18485;14732;16621;20479;22279;18716;3.23;7.97;1.62;174.2114;"7531";"Krejci, Kozesnici A Kloboucnici";"Verejna sfera"
"459";"7533 svadleny, sicky, vysivaci a pracovnici v pribuznych oborech";333;15733;13417;14484;18006;19836;16348;4.05;12.28;5.43;176.231;"7533";"Svadleny, Sicky, Vysivaci A Pracovnici V Pribuznych Oborech";"Verejna sfera"
"460";"7534 calounici a pribuzni pracovnici";39;20983;16068;18516;22529;26526;21170;4.92;15.4;4.42;174.9752;"7534";"Calounici A Pribuzni Pracovnici";"Verejna sfera"
"461";"8157 Obsluha stroju v pradelnach a cistirnach";1158;14672;12472;13588;16128;17720;14995;4.05;13.84;6.71;174.2696;"8157";"Obsluha Stroju V Pradelnach A Cistirnach";"Verejna sfera"
"462";"8182 Obsluha parnich turbin, kotlu a pribuznych zarizeni";751;20838;15430;17825;24482;28021;21364;2.47;22.05;6.74;175.9312;"8182";"Obsluha Parnich Turbin, Kotlu A Pribuznych Zarizeni";"Verejna sfera"
"463";"8189 Obsluha stacionarnich stroju a zarizeni jinde neuvedena";410;21315;16565;19133;25558;29243;22348;4.21;21.54;6.63;176.3902;"8189";"Obsluha Stacionarnich Stroju A Zarizeni Jinde Neuvedena";"Verejna sfera"
"464";"8322 ridici osobnich a malych dodavkovych automobilu, taxikari ";3126;23580;17324;19697;28252;31477;24246;4.45;21.57;6.15;180.4377;"8322";"Ridici Osobnich A Malych Dodavkovych Automobilu, Taxikari";"Verejna sfera"
"465";"8331 ridici autobusu, trolejbusu a tramvaji";104;26526;18313;21646;31474;34508;26490;3.57;19.18;5.43;191.0796;"8331";"Ridici Autobusu, Trolejbusu A Tramvaji";"Verejna sfera"
"466";"8332 ridici nakladnich automobilu, tahacu a specialnich vozidel";4463;25412;19929;22814;27309;29053;24970;6.63;27.54;5.31;178.8359;"8332";"Ridici Nakladnich Automobilu, Tahacu A Specialnich Vozidel";"Verejna sfera"
"467";"8341 ridici a obsluha zemedelskych a lesnickych stroju";551;20658;16244;18318;23688;26677;21084;5.97;17.18;5.8;178.627;"8341";"Ridici A Obsluha Zemedelskych A Lesnickych Stroju";"Verejna sfera"
"468";"8342 Obsluha zeleznicnich, zemnich a pribuznych stroju a zarizeni";133;22446;17657;19935;25511;27416;22935;5.39;21;5.26;177.8856;"8342";"Obsluha Zeleznicnich, Zemnich A Pribuznych Stroju A Zarizeni";"Verejna sfera"
"469";"8343 Obsluha jerabu, zdvihacich a podobnych manipulacnich zarizeni";44;21981;18353;19536;24245;26160;22370;3.45;20.18;6.64;184.0175;"8343";"Obsluha Jerabu, Zdvihacich A Podobnych Manipulacnich Zarizeni";"Verejna sfera"
"470";"8344 Obsluha vysokozdviznych a jinych voziku a skladnici";481;19047;15146;17074;20851;22147;19069;2.48;15.04;6.28;175.6669;"8344";"Obsluha Vysokozdviznych A Jinych Voziku A Skladnici";"Verejna sfera"
"471";"9112 Uklizeci a pomocnici v hotelich, administrativnich, prumyslovych a jinych objektech";24320;12502;11018;11645;13869;15734;13075;3.18;7.54;4.18;173.9127;"9112";"Uklizeci A Pomocnici V Hotelich, Administrativnich, Prumyslovych A Jinych Objektech";"Verejna sfera"
"472";"9121 Pracovnici pro rucni prani a zehleni ";499;14195;12076;12996;15506;17501;14529;5.11;12.2;5.69;173.6535;"9121";"Pracovnici Pro Rucni Prani A Zehleni";"Verejna sfera"
"473";"9129 Ostatni pracovnici pro rucni cisteni ";43;12123;10233;10573;17500;22584;14277;7.75;6.86;8.87;173.5141;"9129";"Ostatni Pracovnici Pro Rucni Cisteni";"Verejna sfera"
"474";"9214 Pomocni pracovnici v zahradnictvi";96;16413;10948;12827;18809;22049;16349;9.69;11.23;6.35;175.43;"9214";"Pomocni Pracovnici V Zahradnictvi";"Verejna sfera"
"475";"9215 Pomocni pracovnici v lesnictvi a myslivosti";142;16155;11034;13485;18684;21370;16305;8.92;9.75;6.02;177.2792;"9215";"Pomocni Pracovnici V Lesnictvi A Myslivosti";"Verejna sfera"
"476";"9312 Figuranti, delnici vykopovych praci a delnici v oblasti vystavby inzenyrskych del";205;18294;11223;13775;21211;24255;18150;4.61;19.23;5.57;175.752;"9312";"Figuranti, Delnici Vykopovych Praci A Delnici V Oblasti Vystavby Inzenyrskych Del";"Verejna sfera"
"477";"9313 Delnici v oblasti vystavby budov";50;18324;13491;15255;20995;23265;18498;4.19;15.14;6.35;175.117;"9313";"Delnici V Oblasti Vystavby Budov";"Verejna sfera"
"478";"9329 Manipulacni a ostatni pomocni delnici ve vyrobe";144;16784;11280;13677;20187;23091;17029;4.61;13.6;6.26;174.9506;"9329";"Manipulacni A Ostatni Pomocni Delnici Ve Vyrobe";"Verejna sfera"
"479";"9333 Pomocni manipulacni pracovnici (krome vyroby)";1100;16039;11624;13966;18534;21032;16393;3.55;14.28;6.43;175.9152;"9333";"Pomocni Manipulacni Pracovnici (krome Vyroby)";"Verejna sfera"
"480";"9411 Pracovnici pro pripravu rychleho obcerstveni ";50;13430;11797;12613;15192;16551;14249;2.17;6.65;3.79;173.9893;"9411";"Pracovnici Pro Pripravu Rychleho Obcerstveni";"Verejna sfera"
"481";"9412 Pomocnici v kuchyni";1019;13310;11643;12415;14649;16965;13890;3.29;7.78;3.73;174.8352;"9412";"Pomocnici V Kuchyni";"Verejna sfera"
"482";"9611 Pracovnici odvozu a recyklace odpadu";158;16291;12302;14347;19367;22601;16922;3.54;14.88;7.99;176.7567;"9611";"Pracovnici Odvozu A Recyklace Odpadu";"Verejna sfera"
"483";"9612 Tridici odpadu";45;13912;9905;10233;18817;21331;15084;6.2;8.22;9.42;173.8375;"9612";"Tridici Odpadu";"Verejna sfera"
"484";"9613 Uklizeci verejnych prostranstvi, cistici kanalizaci a pribuzni pracovnici";10486;11761;9965;10383;15515;20036;13542;4.34;8.71;6.41;174.2348;"9613";"Uklizeci Verejnych Prostranstvi, Cistici Kanalizaci A Pribuzni Pracovnici";"Verejna sfera"
"485";"9621 Kuryri, dorucovatele baliku a nosici zavazadel";40;16599;11250;13178;19657;20197;16425;4.12;12.23;6.69;173.8713;"9621";"Kuryri, Dorucovatele Baliku A Nosici Zavazadel";"Verejna sfera"
"486";"9622 Pomocni pracovnici udrzby budov a souvisejicich prostor";940;16297;10706;12962;19964;23178;16849;4.05;12.71;6.03;176.0662;"9622";"Pomocni Pracovnici Udrzby Budov A Souvisejicich Prostor";"Verejna sfera"
